uniprot_id,chebi_id,link_type
Q9NXB9,CHEBI:57368,substrate/product
Q9NXB9,CHEBI:73852,substrate/product
Q9NXB9,CHEBI:73856,substrate/product
Q9NXB9,CHEBI:73857,substrate/product
Q9NXB9,CHEBI:73862,substrate/product
Q9NXB9,CHEBI:73863,substrate/product
Q9NXB9,CHEBI:73870,substrate/product
Q9NXB9,CHEBI:73871,substrate/product
O15075,CHEBI:15378,substrate/product
O15075,CHEBI:29999,substrate/product
O15075,CHEBI:30616,substrate/product
O15075,CHEBI:83421,substrate/product
O15075,CHEBI:456216,substrate/product
O15075,CHEBI:30013,substrate/product
O15075,CHEBI:61977,substrate/product
P40926,CHEBI:15378,substrate/product
P40926,CHEBI:15589,substrate/product
P40926,CHEBI:16452,substrate/product
P40926,CHEBI:57540,substrate/product
P40926,CHEBI:57945,substrate/product
P51398,CHEBI:15377,substrate/product
P51398,CHEBI:15378,substrate/product
P51398,CHEBI:37565,substrate/product
P51398,CHEBI:43474,substrate/product
P51398,CHEBI:58189,substrate/product
P55786,CHEBI:29105,cofactor
Q16769,CHEBI:28938,substrate/product
Q16769,CHEBI:64722,substrate/product
Q16769,CHEBI:87215,substrate/product
Q8WXI4,CHEBI:7896,substrate/product
Q8WXI4,CHEBI:15377,substrate/product
Q8WXI4,CHEBI:15378,substrate/product
Q8WXI4,CHEBI:57287,substrate/product
Q8WXI4,CHEBI:57379,substrate/product
Q8WXI4,CHEBI:30807,substrate/product
Q8WXI4,CHEBI:57385,substrate/product
Q8WXI4,CHEBI:18262,substrate/product
Q8WXI4,CHEBI:57375,substrate/product
Q8WXI4,CHEBI:17968,substrate/product
Q8WXI4,CHEBI:57371,substrate/product
Q9NPF2,CHEBI:15378,substrate/product
Q9NPF2,CHEBI:57652,substrate/product
Q9NPF2,CHEBI:58339,substrate/product
Q9NPF2,CHEBI:58343,substrate/product
Q9NPF2,CHEBI:58422,substrate/product
O75251,CHEBI:15378,substrate/product
O75251,CHEBI:16389,substrate/product
O75251,CHEBI:17976,substrate/product
O75251,CHEBI:57540,substrate/product
O75251,CHEBI:57945,substrate/product
O75251,CHEBI:49883,cofactor
P23470,CHEBI:15377,substrate/product
P23470,CHEBI:43474,substrate/product
P23470,CHEBI:46858,substrate/product
P23470,CHEBI:61978,substrate/product
Q9H093,CHEBI:15378,substrate/product
Q9H093,CHEBI:29999,substrate/product
Q9H093,CHEBI:30616,substrate/product
Q9H093,CHEBI:83421,substrate/product
Q9H093,CHEBI:456216,substrate/product
Q9H093,CHEBI:30013,substrate/product
Q9H093,CHEBI:61977,substrate/product
Q9H093,CHEBI:18420,cofactor
P13284,CHEBI:29950,substrate/product
P13284,CHEBI:35235,substrate/product
P13284,CHEBI:35491,substrate/product
P13284,CHEBI:50058,substrate/product
P13284,CHEBI:61694,substrate/product
P13284,CHEBI:143812,substrate/product
P22732,CHEBI:37721,substrate/product
Q3LXA3,CHEBI:15378,substrate/product
Q3LXA3,CHEBI:16016,substrate/product
Q3LXA3,CHEBI:30616,substrate/product
Q3LXA3,CHEBI:57642,substrate/product
Q3LXA3,CHEBI:456216,substrate/product
Q3LXA3,CHEBI:17378,substrate/product
Q3LXA3,CHEBI:59776,substrate/product
Q3LXA3,CHEBI:57692,substrate/product
Q3LXA3,CHEBI:76202,substrate/product
Q3LXA3,CHEBI:456215,substrate/product
Q3LXA3,CHEBI:18420,cofactor
Q3LXA3,CHEBI:29035,cofactor
Q3LXA3,CHEBI:48828,cofactor
Q9HB55,CHEBI:15377,substrate/product
Q9HB55,CHEBI:15378,substrate/product
Q9HB55,CHEBI:15379,substrate/product
Q9HB55,CHEBI:30879,substrate/product
Q9HB55,CHEBI:57618,substrate/product
Q9HB55,CHEBI:58210,substrate/product
Q9HB55,CHEBI:142491,substrate/product
Q9HB55,CHEBI:30413,cofactor
Q9H4Y5,CHEBI:15378,substrate/product
Q9H4Y5,CHEBI:16042,substrate/product
Q9H4Y5,CHEBI:17792,substrate/product
Q9H4Y5,CHEBI:57925,substrate/product
Q9H4Y5,CHEBI:90779,substrate/product
Q9H4Y5,CHEBI:38290,substrate/product
Q9H4Y5,CHEBI:58297,substrate/product
Q9H4Y5,CHEBI:58539,substrate/product
Q9H4Y5,CHEBI:15377,substrate/product
Q9H4Y5,CHEBI:17826,substrate/product
Q9H4Y5,CHEBI:33409,substrate/product
O75489,CHEBI:15378,substrate/product
O75489,CHEBI:16389,substrate/product
O75489,CHEBI:17976,substrate/product
O75489,CHEBI:57540,substrate/product
O75489,CHEBI:57945,substrate/product
P30305,CHEBI:15377,substrate/product
P30305,CHEBI:43474,substrate/product
P30305,CHEBI:46858,substrate/product
P30305,CHEBI:61978,substrate/product
Q13423,CHEBI:15378,substrate/product
Q13423,CHEBI:57540,substrate/product
Q13423,CHEBI:57783,substrate/product
Q13423,CHEBI:57945,substrate/product
Q13423,CHEBI:58349,substrate/product
Q15102,CHEBI:15377,substrate/product
Q15102,CHEBI:15378,substrate/product
Q15102,CHEBI:30089,substrate/product
Q15102,CHEBI:30909,substrate/product
Q15102,CHEBI:36707,substrate/product
Q15102,CHEBI:44811,substrate/product
Q15102,CHEBI:64496,substrate/product
Q15102,CHEBI:77580,substrate/product
Q15102,CHEBI:78385,substrate/product
Q9UHF3,CHEBI:15378,substrate/product
Q9UHF3,CHEBI:29969,substrate/product
Q9UHF3,CHEBI:57287,substrate/product
Q9UHF3,CHEBI:57288,substrate/product
Q9UHF3,CHEBI:61930,substrate/product
Q02978,CHEBI:15589,substrate/product
Q02978,CHEBI:16810,substrate/product
Q02978,CHEBI:15792,substrate/product
Q02978,CHEBI:30031,substrate/product
Q02978,CHEBI:30780,substrate/product
Q02978,CHEBI:16452,substrate/product
Q9UHI8,CHEBI:29105,cofactor
P46459,CHEBI:15377,substrate/product
P46459,CHEBI:15378,substrate/product
